Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,DNI,C_0603_1608Metric,19.304,24.1935,-90.0,top
C2,0.1u,C_0603_1608Metric,2.032,25.2095,0.0,bottom
C3,0.1u,C_0603_1608Metric,14.224,9.9695,90.0,bottom
C4,0.1u,C_0603_1608Metric,5.588,26.7335,180.0,bottom
C5,4.7u,C_0603_1608Metric,2.032,26.7335,180.0,top
C6,0.1u,C_0603_1608Metric,43.18,25.7175,90.0,top
C7,4p,C_0603_1608Metric,28.956,8.9535,90.0,top
C8,0.1u,C_0603_1608Metric,19.812,11.4935,90.0,top
C9,0.1u,C_0603_1608Metric,29.972,14.0335,90.0,bottom
C10,0.1u,C_0603_1608Metric,31.255,19.6215,180.0,top
C11,0.1u,C_0603_1608Metric,21.1328,6.9215,0.0,top
C12,10p,C_0603_1608Metric,14.224,6.9215,0.0,top
C19,0.01u,C_0603_1608Metric,5.588,25.2095,0.0,top
C31,0.1u,C_0603_1608Metric,10.16,6.9215,-90.0,top
C32,0.1u,C_0603_1608Metric,40.132,25.7175,90.0,top
C39,0.1u,C_0603_1608Metric,2.54,10.9855,180.0,bottom
C47,0.1u,C_0603_1608Metric,27.432,26.7335,0.0,bottom
FB1,Ferrite_Bead,C_1206_3216Metric,2.8956,2.9083,0.0,top
IC1,DAC101C081CIMK_NOPB,TSOT-23-6,14.732,10.9855,0.0,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Horizontal,10.668,-1.1049,-90.0,top
J2,Conn_01x04,PinHeader_1x04_P2.54mm_Horizontal,22.1996,-1.1049,-90.0,top
J4,HDMI_A,CONN_10029449-111RLF_HDMI_A,3.8608,14.9479,-90.0,top
J5,Conn_Coaxial,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,54.0512,14.8971,-90.0,top
R1,3k,R_0603_1608Metric,11.176,23.1775,180.0,top
R2,30k,R_0603_1608Metric,11.176,20.1295,180.0,top
R3,10k,R_0603_1608Metric,17.589,6.9215,180.0,bottom
R4,DNI,R_0603_1608Metric,11.176,14.0335,0.0,top
R5,60.4k,R_0603_1608Metric,28.956,8.9535,90.0,bottom
R6,33.2k,R_0603_1608Metric,25.209,7.4295,0.0,top
R7,27.4k,R_0603_1608Metric,25.209,7.4295,0.0,bottom
R8,3.01k,R_0603_1608Metric,33.528,13.0175,270.0,bottom
R9,10k,R_0603_1608Metric,22.352,11.0363,270.0,bottom
R10,27.4k,R_0603_1608Metric,17.78,6.9215,0.0,top
R11,3.01k,R_0603_1608Metric,29.972,23.1775,-90.0,top
R12,DNI,R_0603_1608Metric,33.528,9.4615,90.0,top
R13,3.01k,R_0603_1608Metric,27.94,18.6055,0.0,top
R18,33,R_0603_1608Metric,11.176,16.0655,0.0,top
R66,1,R_0603_1608Metric,5.588,26.7335,180.0,top
R71,0,R_0603_1608Metric,41.148,4.3815,90.0,top
RV1,10k,Potentiometer_Bourns_3269W_Vertical,17.272,19.1135,90.0,top
TP2,RCT-0C,Test_Point_D1.02mm,22.86,26.2255,0.0,top
U1,OPA188xxDBV,TSOT-23-5,23.876,16.5735,0.0,top
U2,AD795,SOIC-8_3.9x4.9mm_P1.27mm,29.972,14.5415,180.0,top
U3,OPA188xxDBV,TSOT-23-5,23.368,11.0363,0.0,top
U4,MCP4017T-103E_LT,SOT-363,26.924,22.6695,-90.0,top
U5,OPA1641,SOIC-8_3.9x4.9mm_P1.27mm,32.512,3.8735,0.0,top
U6,24AA025UID,SOIC-8_3.9x4.9mm_P1.27mm,4.572,15.0495,0.0,bottom
U9,LP2981A-33DBVT,SOT-23-5,10.16,26.2255,0.0,bottom
