Designator,Mid X,Mid Y,Rotation,Layer
C1,19.304,24.1935,270.0,top
C10,29.591,21.7805,180.0,top
C11,21.1328,6.9215,0.0,top
C12,14.224,6.9215,0.0,top
C13,19.812,3.3655,180.0,bottom
C19,5.588,25.0825,180.0,top
C2,2.032,25.2095,180.0,bottom
C3,14.224,9.9695,90.0,bottom
C31,10.16,8.3185,270.0,top
C32,40.132,25.7175,90.0,top
C39,2.54,10.9855,0.0,bottom
C4,5.588,26.7335,0.0,bottom
C47,27.432,26.7335,180.0,bottom
C5,2.032,26.6065,180.0,top
C6,43.18,25.7175,90.0,top
C7,28.575,12.2555,90.0,top
C8,19.812,11.2395,90.0,top
C9,30.48,17.7165,90.0,bottom
FB1,2.8956,2.9083,0.0,top
IC1,14.732,10.9855,0.0,top
J1,30.607,5.0165,270.0,top
J2,16.002,3.1115,270.0,top
J4,4.318,14.9479,270.0,top
J5,38.5012,14.8971,270.0,top
R1,11.43,23.1775,180.0,top
R10,17.78,6.9215,0.0,top
R11,27.813,23.4315,0.0,top
R12,34.29,12.1925,90.0,top
R13,26.416,20.3835,0.0,top
R14,30.734,12.2555,90.0,bottom
R15,19.812,1.5875,180.0,top
R16,19.812,3.3655,180.0,top
R18,11.43,17.0815,180.0,top
R2,11.43,20.1295,180.0,top
R3,17.589,6.9215,0.0,bottom
R4,11.43,14.0335,0.0,top
R5,28.575,12.2555,90.0,bottom
R6,24.257,6.9215,0.0,top
R66,5.588,26.6065,180.0,top
R7,24.257,6.9215,180.0,bottom
R71,41.148,4.3815,90.0,top
R8,33.528,17.7165,270.0,bottom
R9,22.352,11.0363,270.0,bottom
RV1,17.272,19.1135,90.0,top
TP1,23.241,3.3655,0.0,top
TP2,22.86,26.2255,0.0,top
U1,23.876,16.5735,0.0,top
U2,31.496,16.7005,180.0,top
U3,23.368,11.0363,0.0,top
U4,23.368,22.7965,270.0,top
U5,17.018,19.3675,180.0,bottom
U6,4.572,15.0495,180.0,bottom
U9,10.16,25.8445,180.0,bottom
